Id,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TON,Tonga,349,327,331,238,327,309,437,438,365,379,343,408,276,348,320,327,283
TTO,Trinidad and Tobago,6635,6618,5738,4138,5384,6568,8854,6829,5937,6256,5435,5023,5214,4724,3988,3212,3469
TUN,Tunisia,307,438,540,353,457,495,510,417,410,416,418,440,422,445,429,518,518
TUR,Turkey,2606,3215,3375,3029,3835,4614,4941,4425,4210,4958,4483,4403,4162,4144,3834,4201,4469
TKM,Turkmenistan,97,94,93,84,117,148,248,217,274,290,224,260,223,210,254,226,235
TUV,Tuvalu,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UGA,Uganda,418,457,575,455,721,858,1372,1122,1174,1364,1085,1239,1340,1350,1409,1664,1649
UKR,Ukraine,15511,20914,21190,11633,14156,22745,17140,11001,10813,11223,8477,8292,7642,8193,7752,7987,10422
ARE,United Arab Emirates,435,460,472,380,586,812,1006,758,693,697,779,707,854,910,1039,1193,1370
GBR,United Kingdom,13273,18278,16297,9527,14915,19800,17207,14545,14348,15748,12792,11572,12014,12984,12225,12592,12673
URY,Uruguay,426,541,536,469,787,1154,1664,1418,1451,1775,1331,1553,1374,1352,1128,1078,972
UZB,Uzbekistan,1631,2031,2317,1445,1995,2887,4015,4665,6375,5467,4770,5056,4726,4382,5194,3977,4359
VUT,Vanuatu,0,0,8,3,0,7,4,3,5,6,5,4,3,7,3,4,3
VEN,Venezuela,4693,5170,5228,4018,6220,10645,11341,10692,10514,11154,9409,9183,9387,9572,8427,9144,10772
VNM,Viet Nam,26553,35419,33563,22087,31524,32784,30691,28691,31497,29234,30632,34157,28304,27101,30283,30832,41451
YEM,Yemen,1789,1607,1227,1382,1760,3366,4308,2396,1872,3134,3591,3361,2620,3532,3492,3194,13040
ZMB,Zambia,211,295,308,280,359,499,672,576,613,704,628,652,643,505,441,460,487
ZWE,Zimbabwe,322,475,484,358,628,923,1049,1057,953,983,1274,1016,914,924,797,779,815
TOT,Total,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031,1183505
UNK,Unknown,1172,2311,2622,1201,3227,5303,2734,1394,1394,1366,1330,1245,1206,3263,1150,677,1724
